"","FP","YTG","EP_Go_For_It","EP_Alternative","Best_Decision","P_Success"
"840",76,9,-1.11966632010291,1.93246539502309,"Field Goal",0.38299176697919
"841",77,9,-1.58431274835589,1.97048372180789,"Field Goal",0.384480616318878
"842",78,9,-1.77695672249896,2.04368493450329,"Field Goal",0.385971632873043
"843",79,9,-1.87646335115641,2.09515054037062,"Field Goal",0.387464791763121
"844",80,9,-1.56933376395087,2.21486844048252,"Field Goal",0.388960067953967
"845",81,9,-1.60655499155039,2.28534407072068,"Field Goal",0.390457436255346
"846",82,9,-1.2530904753316,2.3997091648307,"Field Goal",0.391956871323446
"847",83,9,-1.62542611544999,2.40586622879561,"Field Goal",0.393458347662408
"848",84,9,-1.16483962732954,2.50323435749876,"Field Goal",0.394961839625894
"849",85,9,-1.28972345366043,2.54038614974698,"Field Goal",0.39646732141866
"850",86,9,-0.984753656670973,2.59376067307066,"Field Goal",0.397974767098167
"851",87,9,-1.57698826392811,2.5958463348113,"Field Goal",0.399484150576203
"852",88,9,-1.15921021517065,2.66681229764495,"Field Goal",0.400995445620538
"853",89,9,-1.40107115967077,2.68420809935399,"Field Goal",0.40250862585659
"854",90,9,-1.58976335230877,2.69548558614864,"Field Goal",0.404023664769123
"855",91,9,-1.40612977151778,2.74810808195174,"Field Goal",0.40554053570396
"856",1,10,-2.15783075109215,5.32,"Punt",0.246974918359549
"857",2,10,-1.95485635908809,4.77,"Punt",0.248147667119734
"858",3,10,-1.67619086999896,5.09,"Punt",0.249324140829808
"859",4,10,-1.24574342240722,5.05,"Punt",0.250504333838007
"860",5,10,-1.56766036768488,5.34,"Punt",0.251688240308887
"861",6,10,-2.21043821176559,5.38,"Punt",0.252875854222573
"862",7,10,-1.61475928653916,5.04,"Punt",0.254067169374017
"863",8,10,-1.62179843694999,4.67,"Punt",0.255262179372272
"864",9,10,-1.51131548875128,4.63,"Punt",0.25646087763978
"865",10,10,-1.78796538033022,5.56,"Punt",0.257663257411678
"866",11,10,-1.55499880814927,5.5,"Punt",0.258869311735115
"867",12,10,-1.51408711811338,4.77,"Punt",0.260079033468584
"868",13,10,-1.74862544805038,5.29,"Punt",0.261292415281276
"869",14,10,-1.50716854399595,4.77,"Punt",0.262509449652442
"870",15,10,-1.2935740899034,5.55,"Punt",0.263730128870777
"871",16,10,-1.88737685003316,5.08,"Punt",0.264954445033814
"872",17,10,-2.00119465305737,5.31,"Punt",0.266182390047341
"873",18,10,-1.89698137718895,5.06,"Punt",0.267413955624829
"874",19,10,-1.95723341309073,4.44,"Punt",0.268649133286886
"875",20,10,-1.40450316647162,5.54,"Punt",0.269887914360713
"876",21,10,-1.69781875969285,4.71,"Punt",0.271130289979592
"877",22,10,-1.70600581489051,5.3,"Punt",0.272376251082386
"878",23,10,-1.67781875219187,5.13,"Punt",0.273625788413053
"879",24,10,-1.81462145526309,5.63,"Punt",0.274878892520185
"880",25,10,-2.21274684044605,4.63,"Punt",0.27613555375656
"881",26,10,-1.81970587695728,5.02,"Punt",0.277395762278716
"882",27,10,-1.93980706712063,4.77,"Punt",0.278659508046541
"883",28,10,-1.79907508081302,4.75,"Punt",0.279926780822883
"884",29,10,-1.56015360116044,5.38,"Punt",0.281197570173179
"885",30,10,-1.91460043709663,5.36,"Punt",0.282471865465104
"886",31,10,-2.01627835184334,4.99,"Punt",0.283749655868241
"887",32,10,-2.36244533601545,5.05,"Punt",0.285030930353762
"888",33,10,-1.52589576521389,4.67,"Punt",0.286315677694143
"889",34,10,-1.93665573930127,4.64,"Punt",0.287603886462887
"890",35,10,-1.8639335051076,5.05,"Punt",0.288895545034275
"891",36,10,-2.16707174721777,5.13,"Punt",0.290190641583131
"892",37,10,-1.76676792571723,4.63,"Punt",0.291489164084616
"893",38,10,-1.99456588196958,5.11,"Punt",0.292791100314033
"894",39,10,-1.97844526531806,4.99,"Punt",0.294096437846661
"895",40,10,-1.85089403988729,4.36,"Punt",0.295405164057608
"896",41,10,-1.83713302933718,4.54,"Punt",0.296717266121683
"897",42,10,-1.50763003730413,4.54,"Punt",0.298032731013292
"898",43,10,-2.31221219404912,4.59,"Punt",0.299351545506355
"899",44,10,-1.88613503598441,4.49,"Punt",0.300673696174249
"900",45,10,-2.05188835593901,4.08,"Punt",0.301999169389761
"901",46,10,-1.61691693462375,4.15,"Punt",0.303327951325081
"902",47,10,-2.21981531097838,4.17,"Punt",0.304660027951801
"903",48,10,-2.2587848112524,4.51,"Punt",0.305995385040948
"904",49,10,-1.73289975641055,4.78,"Punt",0.307334008163033
"905",50,10,-2.15979828502087,4.67,"Punt",0.308675882688126
"906",51,10,-2.17960223853629,4.13,"Punt",0.310020993785956
"907",52,10,-1.7789939025802,3.91,"Punt",0.311369326426026
"908",53,10,-2.36650159045438,4.08,"Punt",0.312720865377762
"909",54,10,-1.60140789311542,4.22,"Punt",0.314075595210678
"910",55,10,-2.15982568709557,3.97,"Punt",0.315433500294567
"911",56,10,-1.74163492782664,3.93,"Punt",0.316794564799718
"912",57,10,-1.79975263345261,4.2,"Punt",0.318158772697151
"913",58,10,-2.04533040982507,4.47,"Punt",0.319526107758884
"914",59,10,-1.97618412030557,4.17,"Punt",0.320896553558214
"915",60,10,-1.97066112138169,-0.753312648319182,"Field Goal",0.322270093470033
"916",61,10,-2.19237049856892,-0.715389478129125,"Field Goal",0.323646710671162
"917",62,10,-1.71775300700297,-0.234555548706658,"Field Goal",0.325026388140708
"918",63,10,-1.73745165380422,-0.0362381413985153,"Field Goal",0.326409108660451
"919",64,10,-1.98690066682567,0.084298434464374,"Field Goal",0.327794854815251
"920",65,10,-2.07437410705446,0.150982254903793,"Field Goal",0.329183608993483
"921",66,10,-1.71035771440145,0.594994273242009,"Field Goal",0.330575353387492
"922",67,10,-2.39697959935926,0.419270655088531,"Field Goal",0.33197006999408
"923",68,10,-1.52972955876601,1.03858636174567,"Field Goal",0.333367740615011
"924",69,10,-1.59987290647622,1.0363364348299,"Field Goal",0.334768346857546
"925",70,10,-1.65377191995262,1.18312859353261,"Field Goal",0.336171870134998
"926",71,10,-1.41663670957718,1.36116666887342,"Field Goal",0.337578291667319
"927",72,10,-1.93300774734862,1.38448990557217,"Field Goal",0.338987592481705
"928",73,10,-1.72023020201986,1.58854603343249,"Field Goal",0.34039975341323
"929",74,10,-2.15465131812975,1.5903870907237,"Field Goal",0.341814755105507
"930",75,10,-2.13602375814825,1.70310802302827,"Field Goal",0.343232578011368
"931",76,10,-1.8470518189365,1.90323693778122,"Field Goal",0.344653202393579
"932",77,10,-1.95343919749175,1.94636435154199,"Field Goal",0.346076608325568
"933",78,10,-1.76737401952109,2.0725940960963,"Field Goal",0.347502775692191
"934",79,10,-1.89310415912728,2.15512312083443,"Field Goal",0.348931684190514
"935",80,10,-1.77994316249318,2.21486844048252,"Field Goal",0.350363313330625
"936",81,10,-2.27329656188298,2.24974152746376,"Field Goal",0.35179764243647
"937",82,10,-1.81044077648997,2.38395349986562,"Field Goal",0.353234650646717
"938",83,10,-1.70246371606769,2.43371624932081,"Field Goal",0.354674316915639
"939",84,10,-1.71739706787935,2.49676605486202,"Field Goal",0.356116620014029
"940",85,10,-1.89406807630222,2.52399227992904,"Field Goal",0.357561538530141
"941",86,10,-1.90121582690298,2.5635707882793,"Field Goal",0.359009050870647
"942",87,10,-1.86831424849386,2.598240610079,"Field Goal",0.360459135261631
"943",88,10,-1.75393966245593,2.65945620551503,"Field Goal",0.361911769749601
"944",89,10,-1.78071716797421,2.67951812063153,"Field Goal",0.363366932202528
"945",90,10,-1.85403559101215,2.70501268832012,"Field Goal",0.364824600310911
